period,region,qty_bills,total_bills,qty_pays,total_pays,qty_pay_adjust,qty_sb,sb_total,qty_incs,total_incs,qty_pfs,total_pfs,pays_vs_bills,%_real_apparent_delinquency,bills_vs_qty_sbs,cost_per_prop,total_inc_per_prop,qty_pf_per_prop,totla_pf_per_prop
2022-01-01,Los Ríos,1127.0,139203430,964,84447706,79,276,88370233,0,0,54,638444,0.7852706299911268,60.66496062632939,0.24489795918367346,78411.91925465838,0.0,0.04791481810115351,566.4986690328305
2022-01-01,Los Ríos Region,82.0,23697118,75,9815320,12,19,9777050,0,0,82,1066000,0.7682926829268293,41.41988911900595,0.23170731707317074,119232.31707317074,0.0,1.0,13000.0
2022-01-01,Los lagos,160.0,7318318,184,4591320,2,20,4098055,0,0,1,31181,1.1375,62.73736670092772,0.125,25612.84375,0.0,0.00625,194.88125
2022-01-01,Magallanes y la Antártica Chilena,15.0,13722169,14,13722169,0,34,11860035,0,0,1,1873400,0.9333333333333333,100.0,2.2666666666666666,790669.0,0.0,0.06666666666666667,124893.33333333333
2022-01-01,Maule,1749.0,116589902,1515,66911364,52,243,66140789,2,20000,604,4396464,0.8364779874213837,57.39035958705926,0.13893653516295026,37816.345911949684,0.03023852648628065,0.3453401943967982,2513.7015437392797
2022-01-01,O'Higgins,1724.0,371037593,1536,125366219,202,374,103143149,6,14000,694,14451328,0.7737819025522041,33.7880099928311,0.21693735498839908,59827.8126450116,0.013573368794470294,0.4025522041763341,8382.440835266822
2022-01-01,RM,430.0,111741381,467,35721366,98,114,33186096,0,0,151,1178988,0.858139534883721,31.96789379218429,0.2651162790697674,77176.96744186047,0.0,0.3511627906976744,2741.8325581395347
2022-01-01,Región Metropolitana,245445.0,46846664997,221537,21010218035,23175,58883,21123845097,177,118369421,82627,958796341,0.8081729104279981,44.84890874589571,0.23990303326610848,86063.45656664426,0.5603592549389163,0.33664161013669053,3906.3592291552077
2022-01-01,Región de Antofagasta,3476.0,604229092,3307,216734482,318,530,257503082,1,0,1099,14124135,0.8598964326812428,35.86958735843193,0.1524741081703107,74080.28826237054,0.0,0.31616800920598387,4063.3299769850405
2022-01-01,Región de Arica y Parinacota,600.0,62633210,561,36448880,41,119,33950375,0,0,0,0,0.8666666666666667,58.194175262612276,0.19833333333333333,56583.958333333336,0.0,0.0,0.0
2022-01-01,Región de Atacama,132.0,10710470,915,34525130,0,37,4789925,0,0,0,0,6.931818181818182,322.34934601376034,0.2803030303030303,36287.31060606061,0.0,0.0,0.0
2022-01-01,Región de Coquimbo,3317.0,576135320,2934,190619887,570,640,179674525,0,0,170,3491603,0.7126921917395237,33.085957479572684,0.1929454326198372,54167.77962013868,0.0,0.05125113053964426,1052.6388302683147
2022-01-01,Región de Tarapacá,3286.0,439808300,2805,219021455,144,634,211944900,1,15,1133,6404726,0.8097991479001826,49.79930005868466,0.1929397443700548,64499.36092513694,7.077311131336494e-06,0.344796104686549,1949.0949482653682
2022-01-01,Región de Valparaíso,10701.0,1270344004,9544,656852173,1120,2363,634441450,2,20000,5335,26847980,0.7872161480235492,51.70663780296789,0.22082048406690963,59288.05251845622,0.0031523791517720037,0.49855153723951035,2508.9225306046164
2022-01-01,Región de la Araucanía,1062.0,220002424,907,73915752,126,216,71057355,0,0,314,7295075,0.7354048964218456,33.59769890535388,0.2033898305084746,66908.99717514124,0.0,0.295668549905838,6869.185499058381
2022-01-01,Región de los Lagos,1425.0,135477906,1145,79056459,77,322,76583782,0,0,410,2218991,0.7494736842105263,58.35376507812278,0.22596491228070176,53743.0049122807,0.0,0.28771929824561404,1557.1866666666667
2022-01-01,Región de los Ríos,90.0,6877746,68,3814553,0,22,4286862,0,0,0,0,0.7555555555555555,55.4622546398195,0.24444444444444444,47631.8,0.0,0.0,0.0
2022-01-01,Región del Bío Bío,5156.0,492157718,4433,256671809,379,955,258336036,1,3185813,891,11772619,0.7862684251357641,52.15234865015365,0.1852211016291699,50103.96353762607,1.2332050337723692,0.17280837858805276,2283.285298681148
2022-01-01,Región del Libertador General Bernardo O’Higgins,996.0,84530649,793,48305150,36,157,49170035,0,0,32,533054,0.7600401606425703,57.14513087436487,0.1576305220883534,49367.50502008032,0.0,0.0321285140562249,535.1947791164658
2022-01-01,Región del Maule,609.0,44973089,526,27711878,73,58,26959868,0,0,100,750000,0.7438423645320197,61.61880052313062,0.09523809523809523,44269.077175697865,0.0,0.16420361247947454,1231.527093596059
2022-01-01,Santiago Metropolitan Region,1715.0,1183978214,1069,137399630,64,365,174090028,0,0,806,7101213,0.5860058309037901,11.604912014031367,0.21282798833819241,101510.22040816327,0.0,0.46997084548104956,4140.648979591837
2022-01-01,Tarapacá,4612.0,869299820,3779,320021603,188,1183,319361250,1,20,225,7932731,0.778620988725065,36.81372015008585,0.2565047701647875,69245.71769297485,6.26250053818364e-06,0.04878577623590633,1720.0197311361665
2022-01-01,Valparaiso Region,1320.0,794430367,899,102795178,71,212,93817671,0,0,91,1418453,0.6272727272727273,12.93948246064466,0.1606060606060606,71073.99318181818,0.0,0.06893939393939394,1074.585606060606
2022-01-01,Valparaíso,25939.0,4734612686,22082,2036549990,1524,6874,1961023422,8,2677857,7952,118725799,0.792551756043024,43.01407792071294,0.2650063610779136,75601.35016770115,0.13655405488573505,0.30656540344654765,4577.115501754115
2022-01-01,Valparíso,192.0,48202622,197,31018066,35,52,28100744,0,0,5,155625,0.84375,64.34933352795622,0.2708333333333333,146358.04166666666,0.0,0.026041666666666668,810.546875
2022-01-01,desconocido,5194.0,1823185795,3973,450411203,257,1129,413038807,0,0,1298,19049849,0.7154408933384675,24.704624412675397,0.21736619175972274,79522.29630342704,0.0,0.24990373507893723,3667.664420485175
2022-01-01,Ñuble,246.0,26078034,186,17530476,6,56,13930137,0,0,70,3253504,0.7317073170731707,67.22315033410877,0.22764227642276422,56626.57317073171,0.0,0.2845528455284553,13225.626016260163
2022-02-01,Antofagasta,6535.0,777616761,5292,396836432,295,1113,397306451,0,0,2162,30428604,0.7646518745218056,51.03239177736808,0.17031369548584543,60796.70252486611,0.0,0.33083397092578426,4656.251568477429
2022-02-01,Araucania,196.0,170628553,112,7328700,21,12,8838658,0,0,0,0,0.4642857142857143,4.295119352034826,0.061224489795918366,45095.19387755102,0.0,0.0,0.0
2022-02-01,Araucanía,6321.0,919750338,5122,434219860,681,1638,494557286,5,8676681,1833,55179530,0.702578705900965,47.21062249829801,0.2591362126245847,78240.35532352475,1.7544339646024345,0.2899857617465591,8729.557032115172
